mod_request_id,item_id,seller_id,title,description,category_id,attributes,ts,model_version
1,305,91,UrbanFit кухонная техника практичный,"Кухонная техника: аккуратное исполнение, стабильная работа и удобное использование каждый день.",9,"{""brand"":""UrbanFit"",""color"":""бежевый"",""material"":""комбинированный"",""size"":""S"",""warranty_months"":18}",2026-01-26T14:59:46+00:00,moderation_v3
2,1197,32,Orion зоотовары современный,"Зоотовары: аккуратное исполнение, стабильная работа и удобное использование каждый день.",22,"{""brand"":""Orion"",""color"":""красный"",""material"":""пластик"",""size"":""S"",""warranty_months"":18}",2026-02-20T08:46:38+00:00,moderation_v1
3,514,67,CleverBee мониторы надежный,"Мониторы: аккуратное исполнение, стабильная работа и удобное использование каждый день.",5,"{""brand"":""CleverBee"",""color"":""серый"",""material"":""пластик"",""size"":""универсальный"",""warranty_months"":24}",2026-02-15T22:25:20+00:00,moderation_v1
4,1091,154,TrueSound посуда универсальный,"Посуда: аккуратное исполнение, стабильная работа и удобное использование каждый день.",16,"{""brand"":""TrueSound"",""color"":""синий"",""material"":""текстиль"",""size"":""XS"",""warranty_months"":12}",2025-12-10T08:01:51+00:00,moderation_v3
5,696,100,HomeArt садовая техника премиальный,"Садовая техника: аккуратное исполнение, стабильная работа и удобное использование каждый день.",23,"{""brand"":""HomeArt"",""color"":""зеленый"",""material"":""комбинированный"",""size"":""XS"",""warranty_months"":6}",2026-02-08T22:21:23+00:00,moderation_v1
6,465,161,Lira кофеварки эргономичный,"Кофеварки: аккуратное исполнение, стабильная работа и удобное использование каждый день.",11,"{""brand"":""Lira"",""color"":""серый"",""material"":""комбинированный"",""size"":""универсальный"",""warranty_months"":6}",2026-01-30T01:52:05+00:00,moderation_v1
7,1115,142,Foxly детские товары надежный,"Детские товары: аккуратное исполнение, стабильная работа и удобное использование каждый день.",18,"{""brand"":""Foxly"",""color"":""серый"",""material"":""керамика"",""size"":""универсальный"",""warranty_months"":12}",2026-01-27T19:20:48+00:00,moderation_v1
8,449,139,Terra кофеварки эргономичный,"Кофеварки: аккуратное исполнение, стабильная работа и удобное использование каждый день.",11,"{""brand"":""Terra"",""color"":""серый"",""material"":""металл"",""size"":""универсальный"",""warranty_months"":12}",2026-02-06T17:23:49+00:00,moderation_v1
9,377,71,Lira смарт-часы универсальный,"Смарт-часы: аккуратное исполнение, стабильная работа и удобное использование каждый день.",8,"{""brand"":""Lira"",""color"":""бежевый"",""material"":""керамика"",""size"":""универсальный"",""warranty_months"":24}",2026-02-09T01:50:49+00:00,moderation_v1
10,60,93,Crafto смартфоны универсальный,"Смартфоны: аккуратное исполнение, стабильная работа и удобное использование каждый день.",1,"{""brand"":""Crafto"",""color"":""черный"",""material"":""текстиль"",""size"":""XL"",""warranty_months"":18}",2025-12-23T19:38:56+00:00,moderation_v5
11,58,166,Crafto книги практичный,"Книги: аккуратное исполнение, стабильная работа и удобное использование каждый день.",19,"{""brand"":""Crafto"",""color"":""зеленый"",""material"":""металл"",""size"":""универсальный"",""warranty_months"":24}",2026-01-24T12:27:22+00:00,moderation_v1
12,626,62,TrueSound клавиатуры современный,"Клавиатуры: аккуратное исполнение, стабильная работа и удобное использование каждый день.",6,"{""brand"":""TrueSound"",""color"":""зеленый"",""material"":""металл"",""size"":""L"",""warranty_months"":24}",2026-02-21T01:12:14+00:00,moderation_v1
13,1026,30,Brisk садовая техника эргономичный,"Садовая техника: аккуратное исполнение, стабильная работа и удобное использование каждый день.",23,"{""brand"":""Brisk"",""color"":""серый"",""material"":""керамика"",""size"":""M"",""warranty_months"":12}",2025-12-15T05:24:54+00:00,moderation_v1
14,412,70,TrueSound обувь универсальный,"Обувь: аккуратное исполнение, стабильная работа и удобное использование каждый день.",13,"{""brand"":""TrueSound"",""color"":""белый"",""material"":""керамика"",""size"":""L"",""warranty_months"":12}",2026-01-02T15:15:38+00:00,moderation_v1
15,596,143,UrbanFit садовая техника современный,"Садовая техника: аккуратное исполнение, стабильная работа и удобное использование каждый день.",23,"{""brand"":""UrbanFit"",""color"":""синий"",""material"":""пластик"",""size"":""S"",""warranty_months"":24}",2026-01-23T02:59:43+00:00,moderation_v1
